Log of Dyd2
Training on train set: datas/trainSet/heavyIon/datas1/normalCurrent.txt
Testing on test set: datas/testSet/heavyIon/datas1/dataSet.txt
Window size: 20
UCL size rupture: 0.200000
UCL size outer: 0.010000
UCL size inner: 0.050000
feature number: 4
age threshold raw uCl: 2
age threshold precise uCl: 2
score threshold: 0.000000
age penalty: 0.975000
Iteration,Time(s),Value,Scaled_value,Code_Outer,Code_Inner,Reset_State
0.000000,10.000000,11.000000,0.454545,0.000000,0.000000,0.000000
1.000000,20.000000,10.000000,0.363636,0.000000,0.000000,0.000000
2.000000,30.000000,12.000000,0.545455,0.000000,0.000000,0.000000
3.000000,40.000000,12.000000,0.545455,0.000000,0.000000,0.000000
4.000000,50.000000,10.000000,0.363636,0.000000,0.000000,0.000000
5.000000,60.000000,12.000000,0.545455,0.000000,0.000000,0.000000
6.000000,70.000000,12.000000,0.545455,0.000000,0.000000,0.000000
7.000000,80.000000,13.000000,0.636364,0.000000,0.000000,0.000000
8.000000,90.000000,12.000000,0.545455,0.000000,0.000000,0.000000
9.000000,100.000000,13.000000,0.636364,0.000000,0.000000,0.000000
10.000000,110.000000,11.000000,0.454545,0.000000,0.000000,0.000000
11.000000,120.000000,12.000000,0.545455,0.000000,0.000000,0.000000
12.000000,130.000000,10.000000,0.363636,0.000000,0.000000,0.000000
13.000000,140.000000,11.000000,0.454545,0.000000,0.000000,0.000000
14.000000,150.000000,14.000000,0.727273,0.000000,0.000000,0.000000
15.000000,160.000000,11.000000,0.454545,0.000000,0.000000,0.000000
16.000000,170.000000,11.000000,0.454545,0.000000,0.000000,0.000000
17.000000,180.000000,11.000000,0.454545,0.000000,0.000000,0.000000
18.000000,190.000000,12.000000,0.545455,0.000000,0.000000,0.000000
19.000000,200.000000,12.000000,0.545455,0.000000,0.000000,0.000000
20.000000,210.000000,12.000000,0.545455,0.000000,0.000000,0.000000
21.000000,220.000000,12.000000,0.545455,0.000000,0.000000,0.000000
22.000000,230.000000,11.000000,0.454545,0.000000,0.000000,0.000000
23.000000,240.000000,12.000000,0.545455,0.000000,0.000000,0.000000
