Fault log of Dyd2
Iteration,Time(s),Value,Code
3203.000000,32040.000000,0.636364,-2.000000
3215.000000,32160.000000,31.363636,-1.000000
3245.000000,32460.000000,31.727272,-1.000000
3259.000000,32600.000000,30.454546,-1.000000
3306.000000,33070.000000,0.545455,-2.000000
3415.000000,34160.000000,0.090909,-2.000000
3473.000000,34740.000000,30.454546,-1.000000
3473.000000,34740.000000,30.454546,-2.000000
3651.000000,36520.000000,0.363636,-2.000000
3753.000000,37540.000000,0.545455,-2.000000
3792.000000,37930.000000,31.090910,-1.000000
3792.000000,37930.000000,31.090910,-2.000000
3816.000000,38170.000000,31.545454,-1.000000
3816.000000,38170.000000,31.545454,-2.000000
3887.000000,38880.000000,30.909090,-1.000000
3929.000000,39300.000000,27.090910,-1.000000
3929.000000,39300.000000,27.090910,-2.000000
3934.000000,39350.000000,29.909090,-1.000000
3974.000000,39750.000000,31.727272,-1.000000
4042.000000,40430.000000,0.545455,-2.000000
4071.000000,40720.000000,20.363636,-1.000000
4071.000000,40720.000000,20.363636,-2.000000
4149.000000,41500.000000,30.545454,-1.000000
4188.000000,41890.000000,0.545455,-2.000000
4233.000000,42340.000000,0.545455,-2.000000
4299.000000,43000.000000,0.363636,-2.000000
4382.000000,43830.000000,0.545455,-2.000000
4435.000000,44360.000000,0.090909,-2.000000
4489.000000,44900.000000,0.454545,-2.000000
4522.000000,45230.000000,0.545455,-2.000000
4570.000000,45710.000000,0.636364,-2.000000
4620.000000,46210.000000,31.818182,-1.000000
4646.000000,46470.000000,31.818182,-1.000000
4672.000000,46730.000000,0.545455,-2.000000
4686.000000,46870.000000,30.545454,-1.000000
4738.000000,47390.000000,0.636364,-2.000000
4770.000000,47710.000000,32.090908,-1.000000
4862.000000,48630.000000,0.545455,-2.000000
4935.000000,49360.000000,0.454545,-2.000000
4965.000000,49660.000000,32.090908,-1.000000
5102.000000,51030.000000,0.636364,-2.000000
5290.000000,52910.000000,0.545455,-2.000000
5312.000000,53130.000000,0.636364,-2.000000
5394.000000,53950.000000,0.545455,-2.000000
5489.000000,54900.000000,31.181818,-1.000000
5489.000000,54900.000000,31.181818,-2.000000
5553.000000,55540.000000,31.363636,-1.000000
5735.000000,57360.000000,0.545455,-2.000000
5759.000000,57600.000000,0.545455,-2.000000
5799.000000,58000.000000,0.636364,-2.000000
5885.000000,58860.000000,0.545455,-2.000000
5969.000000,59700.000000,31.727272,-1.000000
6022.000000,60230.000000,32.727272,-1.000000
6022.000000,60230.000000,32.727272,-2.000000
6055.000000,60560.000000,0.454545,-2.000000
6125.000000,61260.000000,0.727273,-2.000000
6232.000000,62330.000000,0.090909,-2.000000
6333.000000,63340.000000,0.454545,-2.000000
6402.000000,64030.000000,0.545455,-2.000000
6431.000000,64320.000000,17.454546,-1.000000
6454.000000,64550.000000,0.454545,-2.000000
6506.000000,65070.000000,0.090909,-2.000000
6527.000000,65280.000000,0.545455,-2.000000
6701.000000,67020.000000,0.090909,-2.000000
6722.000000,67230.000000,0.454545,-2.000000
6787.000000,67880.000000,0.545455,-2.000000
6833.000000,68340.000000,0.545455,-2.000000
6906.000000,69070.000000,0.545455,-2.000000
6916.000000,69170.000000,32.090908,-1.000000
7052.000000,70530.000000,0.636364,-2.000000
7076.000000,70770.000000,32.000000,-1.000000
7125.000000,71260.000000,0.454545,-2.000000
7460.000000,74610.000000,0.727273,-2.000000
7481.000000,74820.000000,0.545455,-2.000000
7559.000000,75600.000000,0.545455,-2.000000
7597.000000,75980.000000,0.363636,-2.000000
7647.000000,76480.000000,0.636364,-2.000000
7729.000000,77300.000000,0.454545,-2.000000
7968.000000,79690.000000,0.272727,-2.000000
7989.000000,79900.000000,0.272727,-2.000000
8012.000000,80130.000000,0.090909,-2.000000
