Fault log of Dyd2
Iteration,Time(s),Current(A),Code
390.000000,391.000000,-0.027010,-1.000000
396.000000,397.000000,-0.044647,-1.000000
1773.000000,1774.000000,-0.056634,-1.000000
1779.000000,1780.000000,-0.054301,-1.000000
1784.000000,1785.000000,-0.042684,-1.000000
1810.000000,1811.000000,-0.025141,-1.000000
1823.000000,1824.000000,-0.047461,-1.000000
1986.000000,1987.000000,-0.059413,-1.000000
2001.000000,2002.000000,-0.051182,-1.000000
2021.000000,2022.000000,-0.058239,-1.000000
2030.000000,2031.000000,-0.032043,-1.000000
2182.000000,2183.000000,-0.033844,-1.000000
2185.000000,2186.000000,-0.035370,-1.000000
2216.000000,2217.000000,-0.041316,-1.000000
2236.000000,2237.000000,-0.044711,-1.000000
2282.000000,2283.000000,2.990175,-1.000000
2803.000000,2804.000000,-0.026762,-1.000000
2858.000000,2859.000000,-0.026465,-1.000000
3063.000000,3064.000000,-0.030742,-1.000000
3070.000000,3071.000000,-0.030080,-1.000000
3089.000000,3090.000000,-0.041472,-1.000000
3101.000000,3102.000000,-0.033855,-1.000000
4665.000000,4666.000000,2.766965,-1.000000
4665.000000,4666.000000,2.766965,-2.000000
6025.000000,6026.000000,0.870898,-1.000000
7045.000000,7046.000000,0.861424,-1.000000
7049.000000,7050.000000,0.878173,-1.000000
7590.000000,7591.000000,0.945488,-1.000000
7593.000000,7594.000000,0.930195,-1.000000
7611.000000,7612.000000,1.032526,-1.000000
7616.000000,7617.000000,0.914788,-1.000000
7620.000000,7621.000000,1.042048,-1.000000
7790.000000,7791.000000,2.831834,-1.000000
8202.000000,8203.000000,0.956791,-1.000000
8207.000000,8208.000000,0.963969,-1.000000
8984.000000,8985.000000,0.909503,-1.000000
9032.000000,9033.000000,0.907007,-1.000000
9036.000000,9037.000000,0.884807,-1.000000
9356.000000,9357.000000,0.880489,-1.000000
9720.000000,9721.000000,0.925314,-1.000000
9978.000000,9979.000000,0.906216,-1.000000
9982.000000,9983.000000,1.109841,-1.000000
9986.000000,9987.000000,0.950144,-1.000000
