Temps(ms),Voie3,Voie4
Taken from test0011
243080.0,12.0,12
243090.0,11.0,12
243100.0,11.0,12
243110.0,10.0,12
243120.0,12.0,12
243130.0,9.0,12
243140.0,11.0,12
243150.0,10.0,12
243160.0,11.0,12
243170.0,14.0,13
243180.0,9.0,12
243190.0,12.0,13
243200.0,12.0,12
243210.0,11.0,13
243220.0,12.0,13
243230.0,12.0,12
243240.0,10.0,12
243250.0,10.0,13
243260.0,13.0,12
243270.0,11.0,13
243280.0,11.0,12
243290.0,12.0,13
243300.0,11.0,12
243310.0,12.0,13
243320.0,12.0,12
243330.0,10.0,12
243340.0,13.0,13
243350.0,10.0,12
243360.0,12.0,12
243370.0,11.0,13
243380.0,10.0,12
243390.0,9.0,13
243400.0,11.0,12
243410.0,14.0,12
243420.0,13.0,12
243430.0,11.0,13
243440.0,10.0,13
243450.0,11.0,12
243460.0,12.0,12
243470.0,8.0,13
243480.0,11.0,12
243490.0,12.0,12
243500.0,12.0,13
243510.0,13.0,12
243520.0,11.0,12
243530.0,13.0,13
243540.0,12.0,12
243550.0,13.0,12
243560.0,12.0,12
243570.0,10.0,12
243580.0,13.0,12
243590.0,14.0,12
243600.0,10.0,12
243610.0,11.0,12
243620.0,12.0,12
243630.0,12.0,12
243640.0,11.0,12
243650.0,11.0,12
243660.0,12.0,12
243670.0,10.0,12
243680.0,12.0,12
243690.0,11.0,12
243700.0,12.0,12
243710.0,11.0,12
243720.0,11.0,12
243730.0,10.0,13
243740.0,11.0,13
243750.0,11.0,12
243760.0,11.0,12
243770.0,12.0,12
243780.0,9.0,12
243790.0,12.0,12
243800.0,13.0,12
243810.0,13.0,12
243820.0,11.0,12
243830.0,12.0,12
243840.0,12.0,12
243850.0,13.0,13
243860.0,10.0,13
243870.0,12.0,12
243880.0,13.0,12
243890.0,10.0,13
243900.0,9.0,13
243910.0,12.0,13
243920.0,12.0,13
243930.0,11.0,13
243940.0,13.0,12
243950.0,12.0,12
243960.0,12.0,13
243970.0,12.0,13
243980.0,11.0,12
243990.0,9.0,12
244000.0,10.0,12
244010.0,12.0,13
244020.0,12.0,13
244030.0,10.0,12
244040.0,12.0,12
244050.0,14.0,13
244060.0,12.0,12
244070.0,10.0,12
244080.0,12.0,13
244090.0,10.0,12
244100.0,12.0,12
244110.0,13.0,12
244120.0,11.0,12
244130.0,12.0,12
244140.0,11.0,13
244150.0,12.0,12
244160.0,12.0,13
244170.0,12.0,13
244180.0,12.0,12
244190.0,11.0,13
244200.0,11.0,13
244210.0,12.0,12
244220.0,14.0,13
244230.0,12.0,13
244240.0,13.0,12
244250.0,8.0,12
244260.0,11.0,12
244270.0,11.0,13
244280.0,11.0,13
244290.0,12.0,13
244300.0,12.0,12
244310.0,13.0,12
244320.0,12.0,13
244330.0,12.0,13
244340.0,12.0,12
244350.0,10.0,13
244360.0,10.0,12
244370.0,11.0,13
244380.0,12.0,13
244390.0,12.0,13
244400.0,12.0,13
244410.0,12.0,13
244420.0,11.0,12
244430.0,13.0,12
244440.0,13.0,12
244450.0,10.0,13
244460.0,8.0,13
244470.0,7.0,13
244480.0,12.0,12
244490.0,12.0,13
244500.0,13.0,12
244510.0,13.0,12
244520.0,11.0,13
244530.0,12.0,13
244540.0,12.0,13
244550.0,14.0,12
244560.0,10.0,12
244570.0,12.0,12
244580.0,13.0,13
244590.0,12.0,12
244600.0,12.0,12
244610.0,10.0,12
244620.0,11.0,13
244630.0,13.0,12
244640.0,12.0,12
244650.0,12.0,12
244660.0,10.0,12
244670.0,10.0,12
244680.0,11.0,12
244690.0,12.0,12
244700.0,9.0,12
244710.0,11.0,13
244720.0,10.0,12
244730.0,12.0,13
244740.0,13.0,12
244750.0,10.0,13
244760.0,12.0,12
244770.0,12.0,12
244780.0,11.0,12
244790.0,10.0,12
244800.0,11.0,12
244810.0,13.0,12
244820.0,12.0,12
244830.0,11.0,12
244840.0,12.0,12
244850.0,10.0,12
244860.0,12.0,12
244870.0,11.0,12
244880.0,12.0,12
244890.0,11.0,12
244900.0,10.0,12
244910.0,11.0,12
244920.0,10.0,12
244930.0,12.0,12
244940.0,10.0,12
244950.0,12.0,12
244960.0,12.0,12
244970.0,11.0,12
244980.0,10.0,12
244990.0,10.0,12
245000.0,11.0,12
245010.0,13.0,12
245020.0,12.0,12
245030.0,10.0,13
245040.0,14.0,12
245050.0,12.0,12
245060.0,12.0,13
245070.0,12.0,12
245080.0,10.0,13
245090.0,10.0,12
245100.0,12.0,12
245110.0,11.0,12
245120.0,10.0,12
245130.0,11.0,12
245140.0,11.0,12
245150.0,12.0,13
245160.0,8.0,12
245170.0,11.0,12
245180.0,10.0,12
245190.0,12.0,12
245200.0,11.0,12
245210.0,12.0,12
245220.0,14.0,13
245230.0,12.0,13
245240.0,11.0,13
245250.0,11.0,13
245260.0,10.0,13
245270.0,11.0,12
245280.0,11.0,12
245290.0,12.0,12
245300.0,10.0,12
245310.0,10.0,13
245320.0,12.0,12
245330.0,12.0,12
245340.0,10.0,12
245350.0,13.0,13
245360.0,12.0,13
245370.0,12.0,13
245380.0,12.0,13
245390.0,13.0,13
245400.0,12.0,13
245410.0,11.0,13
245420.0,12.0,13
245430.0,9.0,12
245440.0,12.0,12
245450.0,12.0,12
245460.0,12.0,12
245470.0,12.0,13
245480.0,12.0,12
245490.0,12.0,12
245500.0,12.0,13
245510.0,11.0,13
245520.0,13.0,13
245530.0,12.0,13
245540.0,10.0,13
245550.0,8.0,13
245560.0,11.0,12
245570.0,12.0,13
245580.0,11.0,13
245590.0,13.0,12
245600.0,11.0,12
245610.0,12.0,12
245620.0,10.0,13
245630.0,12.0,13
245640.0,12.0,13
245650.0,9.0,13
245660.0,12.0,13
245670.0,12.0,13
245680.0,12.0,13
245690.0,10.0,12
245700.0,9.0,12
245710.0,11.0,13
245720.0,11.0,13
245730.0,10.0,13
245740.0,11.0,13
245750.0,12.0,13
245760.0,11.0,12
245770.0,11.0,13
245780.0,10.0,13
245790.0,12.0,12
245800.0,11.0,13
245810.0,12.0,13
245820.0,12.0,12
245830.0,10.0,12
245840.0,12.0,13
245850.0,13.0,13
245860.0,11.0,13
245870.0,11.0,13
245880.0,11.0,12
245890.0,11.0,12
245900.0,11.0,13
245910.0,12.0,13
245920.0,10.0,12
245930.0,13.0,13
245940.0,11.0,12
245950.0,12.0,12
245960.0,11.0,13
245970.0,10.0,12
245980.0,13.0,13
245990.0,10.0,12
246000.0,10.0,13
246010.0,10.0,13
246020.0,12.0,12
246030.0,12.0,13
246040.0,12.0,12
246050.0,12.0,13
246060.0,13.0,13
246070.0,12.0,12
246080.0,13.0,12
246090.0,12.0,13
246100.0,12.0,13
246110.0,12.0,12
246120.0,12.0,13
246130.0,11.0,13
246140.0,12.0,13
246150.0,11.0,12
246160.0,11.0,12
246170.0,11.0,12
246180.0,11.0,13
246190.0,13.0,12
246200.0,9.0,13
246210.0,11.0,13
246220.0,10.0,13
246230.0,12.0,12
246240.0,11.0,13
246250.0,10.0,13
246260.0,10.0,13
246270.0,13.0,13
246280.0,11.0,13
246290.0,11.0,12
246300.0,10.0,12
246310.0,11.0,13
246320.0,11.0,13
246330.0,12.0,14
246340.0,11.0,12
246350.0,9.0,13
246360.0,10.0,13
246370.0,11.0,12
246380.0,14.0,13
246390.0,11.0,12
246400.0,10.0,12
246410.0,12.0,13
246420.0,10.0,14
246430.0,12.0,12
246440.0,10.0,13
246450.0,11.0,13
246460.0,12.0,12
246470.0,13.0,12
246480.0,13.0,12
246490.0,9.0,12
246500.0,10.0,13
246510.0,11.0,12
246520.0,12.0,13
246530.0,9.0,12
246540.0,12.0,13
246550.0,12.0,13
246560.0,12.0,13
246570.0,11.0,13
246580.0,11.0,12
246590.0,12.0,12
246600.0,10.0,12
246610.0,11.0,13
246620.0,12.0,13
246630.0,10.0,13
246640.0,13.0,13
246650.0,11.0,12
246660.0,12.0,13
246670.0,15.0,13
246680.0,11.0,12
246690.0,11.0,13
246700.0,10.0,13
246710.0,12.0,12
246720.0,14.0,12
246730.0,12.0,13
246740.0,11.0,13
246750.0,13.0,13
246760.0,12.0,12
246770.0,11.0,13
246780.0,11.0,12
246790.0,12.0,13
246800.0,12.0,13
246810.0,11.0,12
246820.0,12.0,12
246830.0,10.0,13
246840.0,12.0,13
246850.0,11.0,13
246860.0,12.0,13
246870.0,11.0,13
246880.0,8.0,13
246890.0,12.0,12
246900.0,12.0,12
246910.0,12.0,13
246920.0,11.0,13
246930.0,9.0,13
246940.0,12.0,12
246950.0,13.0,13
246960.0,11.0,13
246970.0,11.0,13
246980.0,11.0,13
246990.0,7.0,13
247000.0,12.0,13
247010.0,12.0,13
247020.0,11.0,13
247030.0,12.0,12
247040.0,9.0,12
247050.0,11.0,13
247060.0,11.0,13
247070.0,10.0,12
247080.0,11.0,12
247090.0,12.0,12
247100.0,11.0,13
247110.0,12.0,12
247120.0,11.0,13
247130.0,11.0,13
247140.0,13.0,13
247150.0,11.0,12
247160.0,12.0,12
247170.0,12.0,12
247180.0,11.0,13
247190.0,10.0,13
247200.0,9.0,13
247210.0,12.0,13
247220.0,13.0,12
247230.0,10.0,13
247240.0,12.0,13
247250.0,12.0,13
247260.0,10.0,13
247270.0,10.0,12
247280.0,11.0,13
247290.0,10.0,13
247300.0,12.0,12
247310.0,11.0,12
247320.0,12.0,13
247330.0,11.0,12
247340.0,12.0,13
247350.0,11.0,12
247360.0,12.0,13
247370.0,13.0,12
247380.0,10.0,13
247390.0,11.0,13
247400.0,11.0,13
247410.0,12.0,13
247420.0,11.0,13
247430.0,10.0,12
247440.0,12.0,13
247450.0,11.0,12
247460.0,11.0,13
247470.0,11.0,13
247480.0,11.0,12
247490.0,12.0,13
247500.0,10.0,13
247510.0,12.0,13
247520.0,12.0,13
247530.0,11.0,13
247540.0,11.0,13
247550.0,11.0,12
247560.0,11.0,13
247570.0,12.0,13
247580.0,12.0,12
247590.0,12.0,13
247600.0,12.0,13
247610.0,13.0,13
247620.0,9.0,13
247630.0,12.0,12
247640.0,13.0,12
247650.0,13.0,13
247660.0,13.0,13
247670.0,12.0,12
247680.0,11.0,13
247690.0,11.0,12
247700.0,12.0,13
247710.0,10.0,13
247720.0,12.0,13
247730.0,10.0,12
247740.0,13.0,13
247750.0,12.0,13
247760.0,12.0,13
247770.0,12.0,12
247780.0,12.0,13
247790.0,12.0,13
247800.0,11.0,13
247810.0,13.0,12
247820.0,12.0,13
247830.0,13.0,12
247840.0,12.0,12
247850.0,12.0,12
247860.0,12.0,12
247870.0,11.0,13
247880.0,11.0,12
247890.0,14.0,13
247900.0,12.0,13
247910.0,11.0,13
247920.0,13.0,12
247930.0,11.0,13
247940.0,12.0,12
247950.0,13.0,13
247960.0,10.0,13
247970.0,12.0,13
247980.0,12.0,13
247990.0,11.0,13
248000.0,13.0,12
248010.0,12.0,13
248020.0,11.0,13
248030.0,13.0,13
248040.0,14.0,13
248050.0,11.0,13
248060.0,11.0,12
248070.0,13.0,12
248080.0,13.0,13
248090.0,12.0,12
248100.0,11.0,12
248110.0,13.0,12
248120.0,11.0,12
248130.0,12.0,13
248140.0,9.0,12
248150.0,10.0,12
248160.0,12.0,12
248170.0,12.0,12
248180.0,10.0,12
248190.0,12.0,13
248200.0,14.0,13
248210.0,12.0,13
248220.0,11.0,13
248230.0,10.0,13
248240.0,11.0,12
248250.0,11.0,13
248260.0,14.0,13
248270.0,11.0,12
248280.0,11.0,13
248290.0,12.0,13
248300.0,11.0,13
248310.0,10.0,13
248320.0,12.0,12
248330.0,10.0,13
248340.0,13.0,12
248350.0,13.0,13
248360.0,12.0,12
248370.0,11.0,13
248380.0,12.0,13
248390.0,12.0,12
248400.0,10.0,13
248410.0,12.0,13
248420.0,10.0,12
248430.0,12.0,12
248440.0,13.0,13
248450.0,11.0,12
248460.0,10.0,13
248470.0,12.0,12
248480.0,10.0,12
248490.0,10.0,12
248500.0,9.0,13
248510.0,11.0,13
248520.0,11.0,12
248530.0,10.0,13
248540.0,13.0,13
248550.0,11.0,12
248560.0,13.0,12
248570.0,12.0,13
248580.0,11.0,13
248590.0,11.0,13
248600.0,12.0,12
248610.0,9.0,13
248620.0,12.0,13
248630.0,12.0,13
248640.0,12.0,14
248650.0,10.0,12
248660.0,10.0,13
248670.0,12.0,13
248680.0,10.0,13
248690.0,11.0,13
248700.0,11.0,13
248710.0,12.0,13
248720.0,12.0,13
248730.0,12.0,13
248740.0,10.0,13
248750.0,12.0,12
248760.0,11.0,13
248770.0,12.0,13
248780.0,11.0,12
248790.0,12.0,12
248800.0,8.0,12
248810.0,12.0,12
248820.0,11.0,12
248830.0,11.0,12
248840.0,8.0,12
248850.0,11.0,13
248860.0,11.0,13
248870.0,9.0,12
248880.0,10.0,13
248890.0,9.0,13
248900.0,10.0,12
248910.0,12.0,13
248920.0,11.0,14
248930.0,12.0,12
248940.0,10.0,13
248950.0,12.0,13
248960.0,13.0,13
248970.0,10.0,13
248980.0,12.0,13
248990.0,13.0,13
249000.0,12.0,12
249010.0,13.0,13
249020.0,13.0,13
249030.0,12.0,12
249040.0,13.0,13
249050.0,11.0,13
249060.0,12.0,12
249070.0,12.0,13
249080.0,11.0,13
249090.0,11.0,13
249100.0,12.0,12
249110.0,10.0,12
249120.0,13.0,13
249130.0,11.0,12
249140.0,11.0,12
249150.0,13.0,13
249160.0,11.0,12
249170.0,10.0,13
249180.0,12.0,13
249190.0,14.0,13
249200.0,11.0,13
249210.0,10.0,12
249220.0,11.0,12
249230.0,11.0,13
249240.0,12.0,12
249250.0,12.0,13
249260.0,11.0,13
249270.0,10.0,12
249280.0,11.0,13
249290.0,12.0,12
249300.0,11.0,13
249310.0,10.0,12
249320.0,10.0,13
249330.0,12.0,13
249340.0,12.0,13
249350.0,11.0,13
249360.0,9.0,13
249370.0,10.0,12
249380.0,12.0,12
249390.0,9.0,13
249400.0,10.0,12
249410.0,9.0,13
249420.0,9.0,12
249430.0,9.0,13
249440.0,11.0,13
249450.0,11.0,13
249460.0,11.0,12
249470.0,13.0,12
249480.0,11.0,12
249490.0,12.0,12
249500.0,12.0,13
249510.0,11.0,13
249520.0,10.0,12
249530.0,12.0,12
249540.0,13.0,12
249550.0,11.0,12
249560.0,12.0,12
249570.0,12.0,13
249580.0,9.0,13
249590.0,12.0,13
249600.0,12.0,13
249610.0,12.0,13
249620.0,11.0,12
249630.0,9.0,13
249640.0,10.0,13
249650.0,12.0,12
249660.0,9.0,13
249670.0,12.0,13
249680.0,14.0,13
249690.0,13.0,12
249700.0,12.0,13
249710.0,11.0,13
249720.0,14.0,12
249730.0,12.0,12
