Fault log of Dyd2
Iteration,Time(s),Current(A),Code
23.000000,24.000000,0.407645,-1.000000
42.000000,43.000000,0.414659,-1.000000
48.000000,49.000000,0.375586,-1.000000
54.000000,55.000000,0.343367,-1.000000
82.000000,83.000000,0.470584,-1.000000
93.000000,94.000000,0.216741,-1.000000
101.000000,102.000000,0.401358,-1.000000
112.000000,113.000000,0.364849,-1.000000
225.000000,226.000000,0.498773,-1.000000
233.000000,234.000000,0.456155,-1.000000
236.000000,237.000000,0.209862,-1.000000
296.000000,297.000000,0.352870,-1.000000
350.000000,351.000000,0.223958,-1.000000
352.000000,353.000000,0.501926,-1.000000
358.000000,359.000000,0.334273,-1.000000
363.000000,364.000000,0.293183,-1.000000
367.000000,368.000000,0.288898,-1.000000
371.000000,372.000000,0.471327,-1.000000
386.000000,387.000000,0.354594,-1.000000
400.000000,401.000000,0.210363,-1.000000
406.000000,407.000000,0.196616,-1.000000
408.000000,409.000000,0.341152,-1.000000
416.000000,417.000000,0.475092,-1.000000
427.000000,428.000000,0.271937,-1.000000
463.000000,464.000000,0.349985,-1.000000
543.000000,544.000000,0.473619,-1.000000
549.000000,550.000000,0.349474,-1.000000
568.000000,569.000000,0.467287,-1.000000
572.000000,573.000000,0.236558,-1.000000
598.000000,599.000000,0.407383,-1.000000
619.000000,620.000000,0.454870,-1.000000
621.000000,622.000000,0.192992,-1.000000
629.000000,630.000000,0.393478,-1.000000
633.000000,634.000000,0.400229,-1.000000
641.000000,642.000000,0.436192,-1.000000
645.000000,646.000000,0.409201,-1.000000
651.000000,652.000000,0.336643,-1.000000
654.000000,655.000000,0.489265,-1.000000
660.000000,661.000000,0.382537,-1.000000
742.000000,743.000000,0.489563,-1.000000
746.000000,747.000000,0.369562,-1.000000
748.000000,749.000000,0.477836,-1.000000
1197.000000,1198.000000,0.355545,-1.000000
1201.000000,1202.000000,0.407746,-1.000000
1213.000000,1214.000000,0.491832,-1.000000
1223.000000,1224.000000,0.181366,-1.000000
1234.000000,1235.000000,0.478026,-1.000000
1240.000000,1241.000000,0.417033,-1.000000
1254.000000,1255.000000,0.289675,-1.000000
1346.000000,1347.000000,0.366178,-1.000000
1349.000000,1350.000000,0.459495,-1.000000
1361.000000,1362.000000,0.389718,-1.000000
1401.000000,1402.000000,0.353624,-1.000000
1415.000000,1416.000000,0.191474,-1.000000
1420.000000,1421.000000,0.214670,-1.000000
1429.000000,1430.000000,0.265237,-1.000000
1433.000000,1434.000000,0.389193,-1.000000
1449.000000,1450.000000,0.188174,-1.000000
1458.000000,1459.000000,0.177418,-1.000000
1464.000000,1465.000000,0.229372,-1.000000
1476.000000,1477.000000,0.359827,-1.000000
1484.000000,1485.000000,0.365629,-1.000000
1489.000000,1490.000000,0.211170,-1.000000
1494.000000,1495.000000,0.366624,-1.000000
1507.000000,1508.000000,0.184888,-1.000000
1515.000000,1516.000000,0.362582,-1.000000
1530.000000,1531.000000,0.183201,-1.000000
1534.000000,1535.000000,0.237449,-1.000000
1541.000000,1542.000000,0.353108,-1.000000
1543.000000,1544.000000,0.214047,-1.000000
1546.000000,1547.000000,0.380741,-1.000000
1550.000000,1551.000000,0.242670,-1.000000
1558.000000,1559.000000,0.188407,-1.000000
1561.000000,1562.000000,0.354843,-1.000000
1563.000000,1564.000000,0.245702,-1.000000
1575.000000,1576.000000,0.384332,-1.000000
1580.000000,1581.000000,0.200768,-1.000000
1586.000000,1587.000000,0.379588,-1.000000
1598.000000,1599.000000,0.388697,-1.000000
1606.000000,1607.000000,0.176978,-1.000000
1615.000000,1616.000000,0.386735,-1.000000
1618.000000,1619.000000,0.268319,-1.000000
1626.000000,1627.000000,0.229547,-1.000000
1628.000000,1629.000000,0.344512,-1.000000
1645.000000,1646.000000,0.219744,-1.000000
1650.000000,1651.000000,0.201527,-1.000000
1655.000000,1656.000000,0.359090,-1.000000
1673.000000,1674.000000,0.357306,-1.000000
1696.000000,1697.000000,0.242184,-1.000000
1704.000000,1705.000000,0.240953,-1.000000
1711.000000,1712.000000,0.348403,-1.000000
