Fault log of Dyd2
Iteration,Time(s),Current(A),Code
23.000000,24.000000,0.354139,-1.000000
48.000000,49.000000,0.321478,-1.000000
54.000000,55.000000,0.288655,-1.000000
82.000000,83.000000,0.418259,-1.000000
93.000000,94.000000,0.159654,-1.000000
101.000000,102.000000,0.347734,-1.000000
112.000000,113.000000,0.310540,-1.000000
225.000000,226.000000,0.446976,-1.000000
233.000000,234.000000,0.403559,-1.000000
296.000000,297.000000,0.298336,-1.000000
350.000000,351.000000,0.167006,-1.000000
352.000000,353.000000,0.450188,-1.000000
358.000000,359.000000,0.279390,-1.000000
363.000000,364.000000,0.237530,-1.000000
367.000000,368.000000,0.233165,-1.000000
371.000000,372.000000,0.419016,-1.000000
386.000000,387.000000,0.300092,-1.000000
400.000000,401.000000,0.153157,-1.000000
406.000000,407.000000,0.139152,-1.000000
408.000000,409.000000,0.286398,-1.000000
416.000000,417.000000,0.422851,-1.000000
427.000000,428.000000,0.215885,-1.000000
463.000000,464.000000,0.295398,-1.000000
543.000000,544.000000,0.421350,-1.000000
549.000000,550.000000,0.294876,-1.000000
568.000000,569.000000,0.414899,-1.000000
572.000000,573.000000,0.179842,-1.000000
598.000000,599.000000,0.353872,-1.000000
619.000000,620.000000,0.402250,-1.000000
621.000000,622.000000,0.135460,-1.000000
629.000000,630.000000,0.339706,-1.000000
633.000000,634.000000,0.346584,-1.000000
641.000000,642.000000,0.383221,-1.000000
645.000000,646.000000,0.355724,-1.000000
650.000000,651.000000,0.453591,-1.000000
658.000000,659.000000,0.295481,-1.000000
666.000000,667.000000,0.128211,-1.000000
741.000000,742.000000,0.320923,-1.000000
749.000000,750.000000,0.281401,-1.000000
1201.000000,1202.000000,0.354242,-1.000000
1213.000000,1214.000000,0.439905,-1.000000
1223.000000,1224.000000,0.123615,-1.000000
1234.000000,1235.000000,0.425840,-1.000000
1240.000000,1241.000000,0.363704,-1.000000
1254.000000,1255.000000,0.233956,-1.000000
1346.000000,1347.000000,0.311894,-1.000000
1349.000000,1350.000000,0.406962,-1.000000
1361.000000,1362.000000,0.335876,-1.000000
1401.000000,1402.000000,0.299104,-1.000000
1415.000000,1416.000000,0.133913,-1.000000
1422.000000,1423.000000,0.261321,-1.000000
1426.000000,1427.000000,0.383248,-1.000000
1429.000000,1430.000000,0.209060,-1.000000
1442.000000,1443.000000,0.386858,-1.000000
1449.000000,1450.000000,0.130551,-1.000000
1454.000000,1455.000000,0.298480,-1.000000
1464.000000,1465.000000,0.172521,-1.000000
1468.000000,1469.000000,0.202251,-1.000000
1489.000000,1490.000000,0.153979,-1.000000
1495.000000,1496.000000,0.349072,-1.000000
1502.000000,1503.000000,0.156794,-1.000000
1514.000000,1515.000000,0.189602,-1.000000
1520.000000,1521.000000,0.134403,-1.000000
1531.000000,1532.000000,0.254826,-1.000000
1537.000000,1538.000000,0.130879,-1.000000
1542.000000,1543.000000,0.260596,-1.000000
1556.000000,1557.000000,0.349834,-1.000000
1558.000000,1559.000000,0.130789,-1.000000
1563.000000,1564.000000,0.189158,-1.000000
1571.000000,1572.000000,0.166045,-1.000000
1580.000000,1581.000000,0.143381,-1.000000
1588.000000,1589.000000,0.178965,-1.000000
1599.000000,1600.000000,0.126654,-1.000000
1602.000000,1603.000000,0.150999,-1.000000
1616.000000,1617.000000,0.162313,-1.000000
1620.000000,1621.000000,0.191290,-1.000000
1626.000000,1627.000000,0.172700,-1.000000
1629.000000,1630.000000,0.178207,-1.000000
1640.000000,1641.000000,0.349494,-1.000000
1645.000000,1646.000000,0.162713,-1.000000
