Temps(ms),Voie3,Voie4
2980.0,12.0,12
2990.0,13.0,12
3000.0,12.0,13
3010.0,11.0,13
3020.0,13.0,12
3030.0,11.0,12
3040.0,12.0,13
3050.0,9.0,12
3060.0,10.0,13
3070.0,12.0,13
3080.0,13.0,13
3090.0,11.0,12
3100.0,11.0,12
3110.0,12.0,12
3120.0,10.0,13
3130.0,12.0,13
3140.0,9.0,13
3150.0,12.0,12
3160.0,11.0,13
3170.0,11.0,12
3180.0,14.0,12
3190.0,10.0,12
3200.0,12.0,12
3210.0,12.0,12
3220.0,11.0,13
3230.0,11.0,12
3240.0,11.0,13
3250.0,10.0,13
3260.0,12.0,12
3270.0,12.0,13
3280.0,12.0,13
3290.0,12.0,13
3300.0,12.0,12
3310.0,13.0,13
3320.0,11.0,13
3330.0,11.0,12
3340.0,13.0,12
3350.0,14.0,12
3360.0,12.0,13
3370.0,11.0,12
3380.0,13.0,12
3390.0,11.0,13
3400.0,12.0,12
3410.0,12.0,12
3420.0,12.0,13
3430.0,12.0,13
3440.0,11.0,13
3450.0,10.0,13
3460.0,11.0,12
3470.0,11.0,12
3480.0,10.0,13
3490.0,11.0,12
3500.0,11.0,12
3510.0,9.0,12
3520.0,14.0,12
3530.0,14.0,12
3540.0,14.0,13
3550.0,11.0,12
3560.0,10.0,12
3570.0,10.0,12
3580.0,13.0,12
3590.0,12.0,13
3600.0,12.0,12
3610.0,13.0,13
3620.0,12.0,12
3630.0,11.0,12
3640.0,12.0,12
3650.0,10.0,13
3660.0,12.0,12
3670.0,9.0,13
3680.0,12.0,12
3690.0,12.0,12
3700.0,11.0,12
3710.0,12.0,12
3720.0,10.0,12
3730.0,12.0,12
3740.0,11.0,13
3750.0,12.0,13
3760.0,11.0,12
3770.0,12.0,13
3780.0,10.0,13
3790.0,12.0,12
3800.0,10.0,12
3810.0,12.0,12
3820.0,10.0,12
3830.0,11.0,12
3840.0,11.0,13
3850.0,11.0,12
3860.0,10.0,12
3870.0,12.0,13
3880.0,12.0,12
3890.0,12.0,13
3900.0,10.0,12
3910.0,13.0,12
3920.0,12.0,13
3930.0,10.0,13
3940.0,12.0,13
3950.0,12.0,12
3960.0,10.0,12
3970.0,12.0,12
3980.0,11.0,12
3990.0,13.0,12
4000.0,10.0,12
4010.0,9.0,12
4020.0,12.0,12
4030.0,12.0,12
4040.0,12.0,12
4050.0,11.0,12
4060.0,10.0,12
4070.0,11.0,12
4080.0,11.0,13
4090.0,12.0,12
4100.0,9.0,12
4110.0,11.0,12
4120.0,12.0,12
4130.0,12.0,12
4140.0,12.0,12
4150.0,12.0,12
4160.0,12.0,12
4170.0,12.0,12
4180.0,11.0,12
4190.0,13.0,12
4200.0,12.0,12
4210.0,10.0,12
4220.0,12.0,12
4230.0,10.0,12
4240.0,12.0,12
4250.0,10.0,12
4260.0,12.0,12
4270.0,12.0,13
4280.0,12.0,12
4290.0,12.0,12
4300.0,10.0,13
4310.0,12.0,12
4320.0,14.0,13
4330.0,11.0,12
4340.0,13.0,13
4350.0,11.0,13
4360.0,12.0,12
4370.0,11.0,13
4380.0,11.0,13
4390.0,11.0,12
4400.0,14.0,12
4410.0,11.0,12
4420.0,12.0,13
4430.0,11.0,12
4440.0,12.0,13
4450.0,13.0,13
4460.0,12.0,12
4470.0,12.0,13
4480.0,11.0,13
4490.0,13.0,12
4500.0,12.0,13
4510.0,11.0,12
4520.0,12.0,12
4530.0,12.0,12
4540.0,10.0,12
4550.0,11.0,12
4560.0,11.0,12
4570.0,10.0,12
4580.0,14.0,12
4590.0,12.0,12
4600.0,10.0,12
4610.0,11.0,12
4620.0,12.0,13
4630.0,8.0,13
4640.0,12.0,13
4650.0,13.0,12
4660.0,11.0,12
4670.0,12.0,13
4680.0,13.0,13
4690.0,11.0,12
4700.0,11.0,12
4710.0,12.0,12
4720.0,13.0,12
4730.0,12.0,12
4740.0,12.0,12
4750.0,11.0,12
4760.0,12.0,12
4770.0,14.0,12
4780.0,12.0,12
4790.0,12.0,13
4800.0,11.0,12
4810.0,12.0,12
4820.0,13.0,12
4830.0,12.0,13
4840.0,9.0,13
4850.0,12.0,12
4860.0,10.0,12
4870.0,12.0,12
4880.0,11.0,12
4890.0,12.0,13
4900.0,11.0,13
4910.0,12.0,13
4920.0,13.0,13
4930.0,11.0,13
4940.0,11.0,13
4950.0,12.0,12
4960.0,14.0,13
4970.0,11.0,13
4980.0,12.0,12
4990.0,12.0,12
5000.0,11.0,12
5010.0,11.0,12
5020.0,11.0,12
5030.0,12.0,13
5040.0,10.0,13
5050.0,11.0,13
5060.0,11.0,12
5070.0,11.0,12
5080.0,12.0,13
5090.0,14.0,13
5100.0,13.0,12
5110.0,12.0,12
5120.0,11.0,13
5130.0,12.0,13
5140.0,12.0,13
5150.0,12.0,13
5160.0,13.0,13
5170.0,12.0,13
5180.0,11.0,12
5190.0,15.0,12
5200.0,13.0,12
5210.0,13.0,13
5220.0,12.0,13
5230.0,10.0,13
5240.0,11.0,13
5250.0,12.0,13
5260.0,13.0,12
5270.0,10.0,13
5280.0,12.0,12
5290.0,10.0,12
5300.0,14.0,12
5310.0,12.0,12
5320.0,10.0,13
5330.0,9.0,13
5340.0,12.0,13
5350.0,12.0,12
5360.0,11.0,13
5370.0,12.0,13
5380.0,11.0,13
5390.0,11.0,12
5400.0,11.0,13
5410.0,8.0,13
5420.0,11.0,13
5430.0,12.0,13
5440.0,12.0,13
5450.0,13.0,12
5460.0,9.0,13
5470.0,12.0,12
5480.0,13.0,13
5490.0,12.0,13
5500.0,13.0,13
5510.0,12.0,13
5520.0,12.0,13
5530.0,13.0,12
5540.0,9.0,12
5550.0,12.0,13
5560.0,11.0,13
5570.0,13.0,12
5580.0,11.0,12
5590.0,12.0,13
5600.0,11.0,13
5610.0,12.0,13
5620.0,12.0,12
5630.0,12.0,12
5640.0,11.0,13
5650.0,14.0,12
5660.0,12.0,12
5670.0,11.0,12
5680.0,10.0,12
5690.0,10.0,13
5700.0,11.0,12
5710.0,12.0,12
5720.0,10.0,12
5730.0,14.0,12
5740.0,11.0,13
5750.0,13.0,12
5760.0,12.0,12
5770.0,11.0,12
5780.0,12.0,12
5790.0,14.0,12
5800.0,12.0,13
5810.0,10.0,13
5820.0,10.0,13
5830.0,13.0,13
5840.0,12.0,13
5850.0,11.0,13
5860.0,10.0,12
5870.0,12.0,12
5880.0,14.0,13
5890.0,12.0,12
5900.0,11.0,13
5910.0,10.0,12
5920.0,10.0,13
5930.0,9.0,13
5940.0,12.0,13
5950.0,12.0,13
5960.0,12.0,13
5970.0,10.0,13
5980.0,11.0,13
5990.0,12.0,13
6000.0,12.0,12
6010.0,10.0,12
6020.0,13.0,12
6030.0,10.0,13
6040.0,12.0,12
6050.0,12.0,12
6060.0,12.0,12
6070.0,10.0,13
6080.0,9.0,12
6090.0,12.0,13
6100.0,13.0,13
6110.0,11.0,13
6120.0,12.0,13
6130.0,11.0,13
6140.0,11.0,13
6150.0,11.0,13
6160.0,11.0,13
6170.0,13.0,13
6180.0,11.0,13
6190.0,12.0,12
6200.0,9.0,13
6210.0,12.0,12
6220.0,12.0,12
6230.0,12.0,13
6240.0,11.0,12
6250.0,12.0,12
6260.0,14.0,12
6270.0,12.0,12
6280.0,12.0,13
6290.0,12.0,12
6300.0,10.0,13
6310.0,11.0,12
6320.0,11.0,13
6330.0,12.0,13
6340.0,12.0,13
6350.0,11.0,13
6360.0,12.0,12
6370.0,11.0,12
6380.0,11.0,13
6390.0,12.0,13
6400.0,10.0,12
6410.0,12.0,13
6420.0,12.0,13
6430.0,11.0,12
6440.0,12.0,12
6450.0,11.0,12
6460.0,13.0,13
6470.0,11.0,12
6480.0,11.0,13
6490.0,12.0,12
6500.0,11.0,13
6510.0,12.0,13
6520.0,11.0,12
6530.0,11.0,12
6540.0,10.0,12
6550.0,14.0,12
6560.0,12.0,12
6570.0,12.0,12
6580.0,11.0,12
6590.0,12.0,12
6600.0,12.0,13
6610.0,12.0,13
6620.0,11.0,13
6630.0,12.0,13
6640.0,11.0,12
6650.0,12.0,13
6660.0,14.0,12
6670.0,14.0,12
6680.0,12.0,13
6690.0,10.0,12
6700.0,11.0,12
6710.0,12.0,12
6720.0,12.0,12
6730.0,10.0,12
6740.0,11.0,12
6750.0,11.0,12
6760.0,12.0,12
6770.0,12.0,13
6780.0,138.0,12
6790.0,360.0,13
6800.0,0.0,12
6810.0,12.0,12
6820.0,10.0,12
6830.0,11.0,13
